ApplStandard,MEPSComp,N-Standard,Model_No,Family Name,avg_pwr_standby_mode,Brand,C-Dehumid_Rated,Configuration1,Configuration2,Configuration2-unitmount,Configuration3_Sink,Configuration3_Source,Country,C-Power_Inp_Rated,C-Sens_Cool_Rated,C-Total Cool Rated,Depth,H2_COP,H2_HeatPwrCapacity,H2_HeatPwrInput,Height,H-Power_Inp_Rated,H-Total Heat Rated,indoorType,EERtestAvg,COPtestAvg,Invert,Setting_cool,Setting_heat,Pnoc,Pnoh,VSCP_EER50,VSCP_COP50,eermepslev,TestedOutputEER,TestedOutputCOP,AnnualOutputEER,AnnualOutputCOP,PL_EERMEPS,PL_COPMEPS,sri2010_cool,sri2010_heat,Star2010_Cool,Star2010_Heat,outdoortype,Phase,Refrigerant,Sold_in,Submit_ID,ExpDate,GrandDate,SubmitStatus,Type,Width,Product Class,Demand Response 1,Demand Response 2,Demand Response 4,Demand Response 5,Demand Response 6,Demand Response 7,PartNumber,EER,Availability Status,star2000_cool,star2000_heat,Product Website,Representative Brand URL,Variable Output Compressor,Star Image Large,Star Image Small
AS/NZS 3823.2:2001 (Legacy),2001,AS/NZS 3823.3:2002,OSA264 / ISD265,,,TEMPERZONE,5.01,Ducted,Single Split System,,Air,Air,Japan,9.3,20.04,25.05,650.0,,,,1025.0,7.93,27.0,,,,,100.0,,,,,,2.694,,,,,,,,,,,,Three,,"Australia,New Zealand",13281,,2007-09-30,Superseded,Reverse Cycle,1240.0,Class 11,,,,,,,,,Available,,,,,False,,
AS/NZS 3823.2:2001 (Legacy),2001,AS/NZS 3823.3:2002,OSA148 / ISD150,,,TEMPERZONE,2.8,Ducted,Single Split System,,Air,Air,New Zealand,5.35,11.2,14.0,515.0,,,,960.0,4.4,14.9,,2.498,,False,,,,,,,2.498,,,,,,,,,,,,Three,R22,"Australia,New Zealand",14903,,2007-09-30,Superseded,Reverse Cycle,1090.0,Class 7,,,,,,,,2.498,Available,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.3:2002,OSA147/ISD150,,,TEMPERZONE,2.8,Ducted,Single Split System,,Air,Air,New Zealand,5.35,11.2,14.0,515.0,,,,960.0,4.4,14.9,,2.5,,False,,,,,,,2.5,,,,,,,,,,,,Single,R22,"Australia,New Zealand",14954,,2007-09-30,Superseded,Reverse Cycle,1090.0,Class 7,,,,,,,,2.5,Available,,,,,False,,
AS/NZS 3823.2:2001 (Legacy),2006,AS/NZS 3823.1.1:1998,KFR-27GW/T,,,EXPERTAIR,0.71,Non Ducted,Single Split System,,Air,Air,China,1.12,1.99,2.7,814.0,,,,278.0,1.11,3.0,,2.57,2.78,False,,,,,,,2.57,,,,,,,,,,,,Single,R22,New Zealand,15609,,2006-07-01,Superseded,Reverse Cycle,190.0,Class 3,,,,,,,,2.57,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,42/38 GCL 070H9,,,CARRIER,5.2,Non Ducted,Single Split System,,Air,Air,Israel,6.04,9.7,14.9,400.0,,,,640.0,5.46,15.54,,2.47,2.84,False,,,,,,,2.47,,,,,,,,,,,,Three,R22,New Zealand,15878,,2007-09-30,Superseded,Reverse Cycle,1140.0,Class 5,,,,,,,,2.47,Available,2,2,,,False,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,42/38 GCL 050H9,,,CARRIER,3.69,Non Ducted,Single Split System,,Air,Air,Israel,3.75,6.57,10.03,320.0,,,,640.0,3.6,10.55,,2.67,2.93,False,,,,,,,2.67,,,,,,,,,,,,Three,R22,New Zealand,15880,,2007-09-30,Superseded,Reverse Cycle,1100.0,Class 5,,,,,,,,2.67,Available,3,3,,,False,,
AS/NZS 3823.2:2003 (Legacy),2001,AS/NZS 3823.1.1:1998,42/38 GCL 060H9,,,CARRIER,4.47,Non Ducted,Single Split System,,Air,Air,Israel,5.0,8.31,12.78,400.0,,,,640.0,4.17,13.481,,2.55,3.43,False,,,,,,,2.55,,,,,,,,,,,,Three,R22,New Zealand,15883,,2007-09-30,Superseded,Reverse Cycle,1140.0,Class 5,,,,,,,,2.55,Available,2,3,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H12A4/HSA,,,MZB,3.4,Non Ducted,Single Split System,,Air,Air,China,3.19,2.427,3.2,,,,,,1.31,3.8,,2.459,2.813,False,,,,,,,2.459,,,,,,,,,,,,Single,R22,New Zealand,16174,,2006-07-01,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.459,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,TA-18C(H)S,,,TOYO,0.0,Non Ducted,Single Split System,,Air,Air,China,1.97,5.1,5.1,240.0,,,,288.0,1.91,5.2,,2.7,2.8,False,,,,,,,2.7,,,,,,,,,,,,Single,R407,New Zealand,16197,,2006-06-16,Superseded,Reverse Cycle,790.0,Class 4,,,,,,,,2.7,Available,2.8,2.723,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H18B4/HSA,,,MZB,5.3,Non Ducted,Single Split System,,Air,Air,China,2.0,4.081,5.3,,,,,,2.0,5.8,,2.794,2.809,False,,,,,,,2.794,,,,,,,,,,,,Single,R22,New Zealand,16211,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.794,Available,3.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,ASW-H24B4/HSA,,,MZB,7.3,Non Ducted,Single Split System,,Air,Air,China,2.7,5.215,7.0,,,,,,2.7,7.7,,2.573,2.751,False,,,,,,,2.573,,,,,,,,,,,,Single,R22,New Zealand,16212,,2006-06-16,Superseded,Reverse Cycle,,Class 4,,,,,,,,2.573,Available,2.5,2.5,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.2:2001,HWP78,,,TEMPERZONE,2.3,Ducted,Packaged,,Cooling Tower,,New Zealand,2.3,5.5,7.5,,,,,,,,,3.245,,False,,,,,,,3.245,,,,,,,,,,,,Single,R22,"Australia,New Zealand",16599,,2007-09-30,Superseded,Cooling Only,,Class 6,,,,,,,,3.245,Available,,,,,False,,
AS/NZS 3823.2:2003 (Legacy),2004,AS/NZS 3823.1.1:1998,KFR-23GW/A13,,,GREE,0.463,Non Ducted,Single Split System,,Air,,China,0.82,1.861,2.3,,,,,,0.8,2.4,,2.844,3.194,False,,,,,,,2.844,,,,,,,,,,,,Single,R22,New Zealand,16747,,2006-06-16,Superseded,Reverse Cycle,,Class 3,,,,,,,,2.844,Available,3.5,3.5,,,False,,
